# ev x0 y0 z0 xf yf zf 
181 0.208436 -0.125754 -0.25 0.226428 -0.142425 -0.149999
182 -0.190658 0.0572601 -0.25 -0.201743 0.0664949 -0.149994
183 0.0528249 0.214961 -0.25 0.0437517 0.257214 -0.149999
184 0.0645098 0.226481 -0.25 0.0613146 0.198569 -0.149997
185 -0.063885 -0.177234 -0.25 -0.114516 -0.173912 -0.149983
186 -0.0436285 -0.112706 -0.25 -0.0605415 -0.186969 0.359994
187 -0.0272149 0.0859469 -0.25 -0.0600099 0.116212 0.359996
188 0.0609407 -0.0802769 -0.25 0.0405804 -0.131578 0.359996
189 0.0676213 -0.0361614 -0.25 0.123134 -0.0503816 0.359992
190 -0.110784 -0.198794 -0.25 -0.132113 -0.171714 -0.149996
191 0.192091 0.0865446 -0.25 0.159278 0.0823857 -0.149997
192 0.00889034 -0.176509 -0.25 0.0449914 -0.135253 -0.149985
193 -0.0171823 -0.193193 -0.25 -0.0352908 -0.20299 -0.149996
194 0.140472 0.142846 -0.25 0.127935 0.15107 -0.149999
195 0.0802114 0.146765 -0.25 0.0879393 0.0958116 0.334726
196 0.203842 0.0386475 -0.25 0.253688 0.0541117 -0.149997
197 -0.228989 -0.236816 -0.25 -0.269009 -0.255409 -0.149994
198 -0.154092 0.0738361 -0.25 -0.0817494 0.101108 0.341942
199 0.228145 0.160417 -0.25 0.274742 0.110599 -0.149997
200 0.0503174 -0.0857398 -0.25 0.162146 -0.0698273 0.359978
201 0.233184 -0.243311 -0.25 0.224035 -0.265395 -0.15
202 0.0515538 -0.0440312 -0.25 0.196905 0.069586 0.5
203 0.0926358 -0.137506 -0.25 0.120245 -0.133588 -0.149998
204 0.125692 -0.0897429 -0.25 0.120177 -0.0794978 0.36
205 0.0763331 -0.235092 -0.25 0.104777 -0.24835 -0.149997
206 -0.038537 0.0184236 -0.25 -0.0763086 -0.0343875 0.5
207 0.101453 0.220353 -0.25 0.0967531 0.261578 -0.15
208 0.0919146 -0.16573 -0.25 0.0607727 -0.167538 -0.149996
209 -0.22284 -0.0176137 -0.25 -0.275438 -0.0442619 -0.149994
210 0.227116 0.107371 -0.25 0.258495 0.0854117 -0.149999
211 -0.120849 0.180958 -0.25 -0.118097 0.194015 -0.149998
212 -0.103981 -0.0998375 -0.25 -0.0760706 -0.10542 0.350845
213 0.194142 -0.00807367 -0.25 0.169548 -0.0123784 -0.149971
214 0.223999 0.172287 -0.25 0.241124 0.190012 -0.149983
215 -0.0976563 0.024316 -0.25 -0.131427 0.0107038 0.359997
216 -0.163453 -0.114473 -0.25 -0.167418 -0.0639039 -0.149998
217 0.0310049 0.138101 -0.25 0.0259997 0.127374 0.35262
218 0.0914962 -0.126359 -0.25 0.11394 -0.0994689 0.359995
219 -0.249404 -0.0328119 -0.25 -0.255275 -0.0110325 -0.149983
220 0.0338977 0.0769286 -0.25 -0.0388462 0.132258 0.359983
221 -0.0179039 0.245361 -0.25 -0.0108082 0.237435 -0.15
222 -0.154648 -0.166451 -0.25 -0.156841 -0.166297 -0.14999
223 0.215714 0.187267 -0.25 0.245084 0.174079 -0.149966
224 -0.0821811 0.242874 -0.25 -0.0614246 0.238375 -0.15
225 -0.0803468 -0.105065 -0.25 0.0228004 -0.128058 0.359962
226 0.100245 0.0488045 -0.25 0.0996813 0.0849033 0.359979
227 -0.174107 0.246264 -0.25 -0.129713 0.248187 -0.149969
228 0.198967 -0.229965 -0.25 0.17352 -0.244164 -0.149982
229 -0.0118098 0.172966 -0.25 -0.00695654 0.151063 0.359996
230 0.192322 0.140534 -0.25 0.183943 0.120489 -0.149996
231 -0.0527184 -0.221131 -0.25 -0.0379647 -0.215188 -0.149997
232 -0.223939 0.228287 -0.25 -0.248501 0.280198 -0.149984
233 0.16697 0.117557 -0.25 0.177989 0.140844 -0.149995
234 -0.148073 0.167566 -0.25 -0.13203 0.156835 -0.149979
235 -0.165254 0.135825 -0.25 -0.169836 0.145709 -0.149998
236 -0.00550558 0.0668416 -0.25 -0.00578264 0.047162 0.5
237 0.131186 0.0898467 -0.25 0.10044 0.0865142 0.359994
238 0.15039 0.0968996 -0.25 0.103459 0.0899292 0.359998
239 0.0271135 -0.181791 -0.25 0.0594365 -0.214686 -0.149997
240 0.0897735 0.196767 -0.25 0.0728289 0.218366 -0.149997
241 -0.0368558 -0.0599814 -0.25 -0.00223431 -0.130726 0.36
242 -0.0044288 0.0390371 -0.25 0.102619 0.1277 0.5
243 -0.0637175 -0.0554618 -0.25 -0.131186 0.0106188 0.359967
244 0.0590719 0.174473 -0.25 0.046855 0.121273 -0.14688
245 -0.132496 0.00139383 -0.25 -0.20453 0.0317714 0.359965
246 0.0650066 0.0647855 -0.25 0.168818 0.0512145 0.5
247 0.030263 0.0910679 -0.25 0.0567218 0.116975 0.358886
248 0.0430721 -0.0527668 -0.25 -0.0114065 -0.0977516 0.5
249 -0.0413746 0.144999 -0.25 -0.0569437 0.156975 -0.149983
250 -0.135201 0.043371 -0.25 -0.133161 0.00572914 0.359997
251 0.0308242 0.109293 -0.25 -0.0525602 0.0976572 0.5
252 -0.139787 -0.0879902 -0.25 -0.0386977 -0.127698 0.36
253 -0.0508599 -0.239397 -0.25 -0.0522512 -0.201479 -0.149997
254 -0.241091 0.226254 -0.25 -0.291231 0.293805 -0.149994
255 -0.171188 0.0986828 -0.25 -0.186578 0.123223 -0.149996
256 0.17302 0.0419562 -0.25 0.125352 0.0528094 0.36
257 -0.211299 -0.0814085 -0.25 -0.253795 -0.0468071 -0.15
258 -0.169007 -0.0250161 -0.25 -0.167431 0.0296383 -0.149999
259 0.11313 0.140065 -0.25 0.118098 0.0713155 -0.149894
260 -0.100543 0.230634 -0.25 -0.0798527 0.218812 -0.149997
261 -0.108541 0.214463 -0.25 -0.136494 0.228866 -0.149988
262 0.0454192 0.171722 -0.25 0.0555146 0.179276 -0.149998
263 0.0555311 -0.161509 -0.25 0.0265465 -0.127262 0.353929
264 -0.131045 -0.235844 -0.25 -0.193979 -0.202384 -0.149998
265 0.233491 -0.0162456 -0.25 0.246632 0.00792537 -0.149999
266 0.0575274 0.0143147 -0.25 0.232796 -0.0236095 0.359999
267 -0.156952 0.16774 -0.25 -0.136537 0.180747 -0.149998
268 0.176324 0.042188 -0.25 0.162183 0.0855205 -0.149991
269 0.178343 0.185234 -0.25 0.208603 0.170296 -0.149976
270 0.0184417 -0.242845 -0.25 -0.0071361 -0.230945 -0.149994
271 0.0339166 -0.058538 -0.25 0.0752128 -0.159049 0.5
272 0.049111 0.072618 -0.25 0.191831 0.0377896 0.5
273 0.110054 0.130104 -0.25 0.0849786 0.0983808 0.343382
274 -0.202398 -0.0268167 -0.25 -0.238006 -0.055576 -0.149996
275 0.0201697 -0.0529416 -0.25 0.10786 -0.204944 0.5
276 -0.046183 0.161629 -0.25 -0.0330847 0.160596 -0.149992
277 -0.0884785 0.249236 -0.25 -0.105354 0.282128 -0.149999
278 0.083351 0.217053 -0.25 0.0874461 0.21402 -0.149996
279 -0.162272 0.202306 -0.25 -0.17776 0.207129 -0.149997
280 0.231209 -0.178782 -0.25 0.239675 -0.174166 -0.149998
281 -0.0639391 0.0387364 -0.25 -0.104882 0.0750329 0.5
282 0.0855327 0.0291088 -0.25 0.138179 0.0157 0.5
283 -0.0435236 0.0118571 -0.25 -0.00711212 0.0566444 0.5
284 -0.178703 -0.115181 -0.25 -0.139871 -0.151243 -0.149999
285 -0.0529091 0.0897385 -0.25 -0.0559002 0.120011 0.359996
286 -0.108026 0.231008 -0.25 -0.14669 0.240054 -0.149978
287 -0.2188 0.191085 -0.25 -0.237717 0.186687 -0.149998
288 0.0536255 0.141254 -0.25 0.00103673 0.13 0.357345
289 0.0711894 0.101227 -0.25 0.132931 0.0646079 0.359997
290 -0.135563 -0.158641 -0.25 -0.167653 -0.156865 -0.149994
291 -0.201714 0.0682544 -0.25 -0.214377 0.0181691 -0.149987
292 -0.247012 -0.0401927 -0.25 -0.226152 -0.00980992 -0.149999
293 0.0674906 0.0863391 -0.25 0.0896395 0.0941564 0.358548
294 -0.0731401 0.155218 -0.25 -0.0640223 0.197313 -0.149995
295 0.0386456 -0.0919311 -0.25 0.0989324 -0.114806 0.359996
296 0.226436 0.224706 -0.25 0.189972 0.245193 -0.149986
297 0.196805 0.0619688 -0.25 0.186563 0.067856 -0.149999
298 0.00381525 -0.0967183 -0.25 -0.00451513 -0.129924 0.358859
299 -0.176174 0.075112 -0.25 -0.188456 0.15069 -0.149983
300 0.0381009 0.0209169 -0.25 0.137992 0.015437 0.359993
301 -0.0851495 0.180075 -0.25 -0.017804 0.189102 -0.149999
302 0.00192444 -0.053949 -0.25 0.0317844 -0.0723628 0.5
303 0.12116 -0.19445 -0.25 0.139808 -0.210727 -0.149988
304 -0.162695 -0.0576506 -0.25 -0.123605 -0.0694209 0.5
305 0.156777 -0.0482576 -0.25 0.142418 -0.0692573 -0.149998
306 0.0337086 0.205063 -0.25 0.0120259 0.22153 -0.15
307 -0.230003 0.0366966 -0.25 -0.197652 0.0117411 -0.149999
308 -0.0851296 0.0874873 -0.25 -0.116255 0.058184 0.358165
309 -0.126964 0.0917303 -0.25 -0.105285 0.0762612 0.352441
310 -0.00729456 0.161681 -0.25 -0.0519448 0.119173 0.3591
311 0.249799 -0.0308584 -0.25 0.291248 -0.0333018 -0.15
312 0.136388 0.196605 -0.25 0.166584 0.210135 -0.149982
313 -0.21889 -0.109797 -0.25 -0.238303 -0.0803924 -0.149984
314 -0.150114 -0.145064 -0.25 -0.17683 -0.208727 -0.149998
315 0.215315 0.137987 -0.25 0.197837 0.131756 -0.149982
316 0.125853 -0.119834 -0.25 0.139895 -0.143707 -0.149999
317 0.0680622 -0.122222 -0.25 0.0334378 -0.137369 0.359989
318 0.0762166 -0.0607779 -0.25 0.124598 -0.0909847 0.359972
319 -0.0666723 0.163522 -0.25 -0.0500809 0.120766 0.359995
320 0.131571 -0.159895 -0.25 0.102267 -0.107567 -0.149988
321 -0.134736 -0.08472 -0.25 -0.118743 -0.0667182 -0.15
322 -0.204832 -0.114739 -0.25 -0.252412 -0.160974 -0.149986
323 0.201977 -0.0399614 -0.25 0.161649 6.88364e-05 -0.149999
324 0.222748 -0.174988 -0.25 0.239007 -0.1643 -0.226851
325 -0.198231 -0.0345465 -0.25 -0.171977 -0.0322834 -0.149991
326 0.236694 -0.198432 -0.25 0.207534 -0.211331 -0.149999
327 0.184595 0.123082 -0.25 0.193049 0.110192 -0.149995
328 0.248173 0.215705 -0.25 0.196324 0.233671 -0.149991
329 -0.236715 -0.151941 -0.25 -0.22575 -0.132704 -0.149999
330 -0.179358 0.2286 -0.25 -0.195904 0.26679 -0.149981
331 0.236046 0.196495 -0.25 0.253314 0.234706 -0.149998
332 -0.141235 0.0541086 -0.25 -0.106649 0.0782843 0.35999
333 -0.175727 0.184982 -0.25 -0.17814 0.161566 -0.149963
334 0.243331 0.00760053 -0.25 0.254395 0.039444 -0.149999
335 0.0985036 0.124902 -0.25 0.0586706 0.121032 0.359997
336 0.0977056 0.213768 -0.25 0.125662 0.262816 -0.149992
337 -0.209818 0.142874 -0.25 -0.190764 0.074253 -0.149999
