# ev x0 y0 z0 xf yf zf 
296 0.0484732 0.202218 -0.25 0.0678307 0.208369 -0.15
297 0.131328 0.199741 -0.25 0.151368 0.175103 -0.14998
298 0.2095 -0.220209 -0.25 0.20746 -0.254104 -0.149997
299 -0.212449 0.154833 -0.25 -0.22384 0.161514 -0.149966
300 -0.215147 0.120036 -0.25 -0.21455 0.0961046 -0.202381
301 -0.173733 -0.197609 -0.25 -0.18347 -0.16449 -0.149996
302 0.0197707 -0.0790993 -0.25 -0.153877 0.0158816 0.5
303 0.0272038 -0.0930458 -0.25 -0.0907505 -0.104994 0.359978
304 -0.0616973 -0.11244 -0.25 -0.107431 -0.0862675 0.359998
305 0.244468 0.0971749 -0.25 0.25762 0.0682784 -0.149996
306 -0.0904838 -0.0916675 -0.25 -0.110001 -0.0692855 0.35963
307 -0.188112 -0.106504 -0.25 -0.20256 -0.0495426 -0.149991
308 -0.225938 0.171517 -0.25 -0.229172 0.207931 -0.14999
309 -0.0801075 -0.101895 -0.25 -0.0366347 -0.124733 0.359331
310 0.133943 0.0700928 -0.25 0.136345 0.0654396 -0.149996
311 -0.181733 -0.067584 -0.25 -0.16757 -0.0147497 -0.149994
312 0.0223104 0.199595 -0.25 0.0424843 0.216336 -0.149999
313 -0.117843 -0.0181896 -0.25 -0.129866 -0.00592279 0.359063
314 0.229386 -0.0802915 -0.25 0.255744 -0.0976208 -0.149967
315 -0.113357 -0.235761 -0.25 -0.101962 -0.276035 -0.221108
316 -0.210256 -0.0370896 -0.25 -0.234191 -0.0270821 -0.149982
317 -0.18337 0.0595148 -0.25 -0.189422 0.021899 -0.149995
318 0.133811 0.0938341 -0.25 0.100509 0.102359 0.36
319 0.216469 -0.177886 -0.25 0.244696 -0.14964 -0.149993
320 0.231394 0.210937 -0.25 0.198684 0.223313 -0.149999
321 0.169289 -0.10909 -0.25 0.200219 -0.0876133 -0.149992
322 -0.13073 0.231176 -0.25 -0.122173 0.218724 -0.149987
323 0.0344068 -0.106668 -0.25 0.0809799 -0.151444 0.359999
324 0.152693 0.204299 -0.25 0.193555 0.209678 -0.149997
325 0.0414372 0.0366358 -0.25 -0.00765189 -0.0349712 0.5
326 0.0243921 0.109705 -0.25 -0.0117969 0.165317 0.359997
327 0.219052 -0.203298 -0.25 0.246915 -0.196397 -0.149991
328 0.0593001 -0.148791 -0.25 0.0707302 -0.18824 -0.15
329 0.0285129 0.0386863 -0.25 -0.0195074 0.00412096 0.5
330 0.0209175 0.165156 -0.25 0.035912 0.202311 -0.149982
331 0.0529256 0.0606616 -0.25 0.00700696 0.0284486 0.5
332 -0.121933 0.119556 -0.25 -0.116139 0.154139 -0.149999
333 -0.129824 -0.238122 -0.25 -0.129618 -0.265526 -0.149998
334 -0.0366101 -0.163355 -0.25 -0.0285422 -0.137571 -0.149978
335 -0.166008 -0.0552159 -0.25 -0.16897 0.00736786 0.359992
336 -0.202417 -0.24672 -0.25 -0.171875 -0.245357 -0.149996
337 0.0856944 -0.0831477 -0.25 0.0949895 -0.0887583 0.353685
338 0.234457 -0.129899 -0.25 0.242147 -0.106845 -0.149999
339 0.0601844 0.13715 -0.25 0.0823863 0.11183 0.359995
340 -0.1756 -0.148378 -0.25 -0.145774 -0.193744 -0.149995
341 -0.0762144 0.0987925 -0.25 -0.121482 0.0612724 0.359998
342 0.211326 -0.107163 -0.25 0.165543 -0.0751866 -0.149998
343 0.145495 0.0206263 -0.25 0.129495 0.011522 0.354608
344 -0.00595371 -0.0759921 -0.25 -0.00961219 -0.0944318 0.5
345 -0.190687 -0.235036 -0.25 -0.227148 -0.201105 -0.149988
346 -0.160836 0.112238 -0.25 -0.162733 0.142793 -0.149992
347 0.0756254 -0.0327693 -0.25 0.030376 0.0507735 0.5
348 -0.018206 0.195802 -0.25 -0.00724125 0.194223 -0.149999
349 -0.0208916 0.195184 -0.25 -0.0386445 0.23943 -0.149997
350 -0.217553 0.0630999 -0.25 -0.218494 0.09192 -0.149994
351 -0.110032 -0.16997 -0.25 -0.0600381 -0.190514 -0.15
352 0.0663802 0.225662 -0.25 0.0390872 0.244529 -0.14999
353 -0.00311792 0.0508369 -0.25 0.0892108 0.164423 0.5
354 -0.154236 -0.192934 -0.25 -0.178483 -0.251006 -0.149995
355 -0.0620133 -0.079836 -0.25 -0.149928 -0.0793796 0.5
356 -0.091312 0.111772 -0.25 -0.110401 0.0745001 0.36
357 -0.231043 -0.129986 -0.25 -0.256768 -0.110086 -0.149997
358 -0.24539 0.164452 -0.25 -0.225058 0.224006 -0.149999
359 0.14064 -0.00134418 -0.25 0.131712 -0.00734678 0.359999
360 -0.161541 0.199953 -0.25 -0.161 0.232372 -0.149998
361 0.0136196 -0.0723766 -0.25 0.0200886 -0.1376 0.5
362 0.0621912 -0.160755 -0.25 0.0936923 -0.163414 -0.149998
363 0.144854 -0.206015 -0.25 0.154112 -0.188211 -0.149998
364 -0.214953 -0.126038 -0.25 -0.212627 -0.0842466 -0.149999
365 0.239169 -0.182506 -0.25 0.259346 -0.17307 -0.149993
366 0.187062 -0.120863 -0.25 0.144094 -0.102919 -0.149998
367 -0.102476 0.00344252 -0.25 -0.156899 -0.0208674 0.359995
368 -0.145201 0.144406 -0.25 -0.120466 0.157436 -0.149991
369 -0.195721 -0.0494371 -0.25 -0.148477 0.0160169 -0.149981
370 0.201472 -0.00773396 -0.25 0.179318 -0.0070001 -0.149996
371 0.120727 -0.13984 -0.25 0.100205 -0.107467 -0.149978
372 -0.145962 0.139683 -0.25 -0.136616 0.159159 -0.149999
373 -0.0198254 -0.141352 -0.25 -0.0733163 -0.113644 0.359996
374 0.0541349 -0.129185 -0.25 0.0448056 -0.140624 0.5
375 0.107304 0.142594 -0.25 0.0508627 0.119652 -0.149134
376 -0.179232 -0.129077 -0.25 -0.22529 -0.150693 -0.149998
377 -0.179782 0.132959 -0.25 -0.213206 0.113513 -0.149987
378 -0.0398318 0.215072 -0.25 -0.0744996 0.233289 -0.15
379 0.176944 -0.00478494 -0.25 0.188005 -0.0187069 -0.149998
380 -0.160966 0.166113 -0.25 -0.17747 0.132521 -0.149993
381 0.0627092 -0.223903 -0.25 0.0677665 -0.234591 -0.149997
382 -0.20475 0.210233 -0.25 -0.201665 0.278186 -0.149997
383 0.0295392 -0.0999503 -0.25 0.054245 -0.118147 0.349207
384 0.104639 0.0838186 -0.25 0.119104 0.0521026 0.356071
385 0.100613 0.0561115 -0.25 0.00870344 0.0581146 0.5
386 -0.173915 -0.0286606 -0.25 -0.151458 -0.0222888 -0.149987
387 0.166272 -0.0698771 -0.25 0.136443 -0.0335654 -0.149989
